NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain9_worker0_r,20,bestfit,MaxMax
domain9_worker1_r,20,bestfit,MaxMax
domain9_worker2_r,20,bestfit,MaxMax
domain9_worker3_r,20,bestfit,MaxMax
domain9_worker4_r,20,bestfit,MaxMax
domain9_worker5_r,20,bestfit,MaxMax
domain9_worker6_r,20,bestfit,MaxMax
domain9_worker7_r,20,bestfit,MaxMax
domain9_worker8_r,20,bestfit,MaxMax
domain9_worker9_r,20,bestfit,MaxMax
domain9_worker10_r,20,bestfit,MaxMax
domain9_worker11_r,20,bestfit,MaxMax
domain9_worker12_r,20,bestfit,MaxMax
domain9_worker13_r,20,bestfit,MaxMax
domain9_worker14_r,20,bestfit,MaxMax
domain9_worker15_r,20,bestfit,MaxMax
domain9_worker16_r,20,bestfit,MaxMax
