NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain1_worker0_r,8,bestfit,MinMin
domain1_worker1_r,8,bestfit,MinMin
domain1_worker2_r,8,bestfit,MinMin
domain1_worker3_r,8,bestfit,MinMin
domain1_worker4_r,8,bestfit,MinMin
domain1_worker5_r,8,bestfit,MinMin
domain1_worker6_r,8,bestfit,MinMin
domain1_worker7_r,8,bestfit,MinMin
domain1_worker8_r,8,bestfit,MinMin
domain1_worker9_r,8,bestfit,MinMin
domain1_worker10_r,8,bestfit,MinMin
domain1_worker11_r,8,bestfit,MinMin
domain1_worker12_r,8,bestfit,MinMin
domain1_worker13_r,8,bestfit,MinMin
domain1_worker14_r,8,bestfit,MinMin
domain1_worker15_r,8,bestfit,MinMin
domain1_worker16_r,8,bestfit,MinMin
domain1_worker17_r,8,bestfit,MinMin
domain1_worker18_r,8,bestfit,MinMin
domain1_worker19_r,8,bestfit,MinMin
domain1_worker20_r,8,bestfit,MinMin
domain1_worker21_r,8,bestfit,MinMin
domain1_worker22_r,8,bestfit,MinMin
domain1_worker23_r,8,bestfit,MinMin
domain1_worker24_r,8,bestfit,MinMin
domain1_worker25_r,8,bestfit,MinMin
domain1_worker26_r,8,bestfit,MinMin
domain1_worker27_r,8,bestfit,MinMin
domain1_worker28_r,8,bestfit,MinMin
domain1_worker29_r,8,bestfit,MinMin
domain1_worker30_r,8,bestfit,MinMin
domain1_worker31_r,8,bestfit,MinMin
domain1_worker32_r,8,bestfit,MinMin
domain1_worker33_r,8,bestfit,MinMin
domain1_worker34_r,8,bestfit,MinMin
domain1_worker35_r,8,bestfit,MinMin
domain1_worker36_r,8,bestfit,MinMin
domain1_worker37_r,8,bestfit,MinMin
domain1_worker38_r,8,bestfit,MinMin
domain1_worker39_r,8,bestfit,MinMin
domain1_worker40_r,8,bestfit,MinMin
domain1_worker41_r,8,bestfit,MinMin
domain1_worker42_r,8,bestfit,MinMin
domain1_worker43_r,8,bestfit,MinMin
domain1_worker44_r,8,bestfit,MinMin
domain1_worker45_r,8,bestfit,MinMin
domain1_worker46_r,8,bestfit,MinMin
domain1_worker47_r,8,bestfit,MinMin
domain1_worker48_r,8,bestfit,MinMin
