NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain5_worker0_r,16,bestfit,MinMin
domain5_worker1_r,16,bestfit,MinMin
domain5_worker2_r,16,bestfit,MinMin
domain5_worker3_r,16,bestfit,MinMin
domain5_worker4_r,16,bestfit,MinMin
domain5_worker5_r,16,bestfit,MinMin
domain5_worker6_r,16,bestfit,MinMin
domain5_worker7_r,16,bestfit,MinMin
domain5_worker8_r,16,bestfit,MinMin
domain5_worker9_r,16,bestfit,MinMin
domain5_worker10_r,16,bestfit,MinMin
domain5_worker11_r,16,bestfit,MinMin
domain5_worker12_r,16,bestfit,MinMin
domain5_worker13_r,16,bestfit,MinMin
domain5_worker14_r,16,bestfit,MinMin
domain5_worker15_r,16,bestfit,MinMin
domain5_worker16_r,16,bestfit,MinMin
domain5_worker17_r,16,bestfit,MinMin
domain5_worker18_r,16,bestfit,MinMin
domain5_worker19_r,16,bestfit,MinMin
domain5_worker20_r,16,bestfit,MinMin
domain5_worker21_r,16,bestfit,MinMin
domain5_worker22_r,16,bestfit,MinMin
