NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain3_worker0,16,bestfit,MaxMax
domain3_worker1,16,bestfit,MaxMax
domain3_worker2,16,bestfit,MaxMax
domain3_worker3,16,bestfit,MaxMax
domain3_worker4,16,bestfit,MaxMax
domain3_worker5,16,bestfit,MaxMax
domain3_worker6,16,bestfit,MaxMax
domain3_worker7,16,bestfit,MaxMax
domain3_worker8,16,bestfit,MaxMax
domain3_worker9,16,bestfit,MaxMax
domain3_worker10,16,bestfit,MaxMax
domain3_worker11,16,bestfit,MaxMax
domain3_worker12,16,bestfit,MaxMax
domain3_worker13,16,bestfit,MaxMax
domain3_worker14,16,bestfit,MaxMax
domain3_worker15,16,bestfit,MaxMax
domain3_worker16,16,bestfit,MaxMax
domain3_worker17,16,bestfit,MaxMax
domain3_worker18,16,bestfit,MaxMax
domain3_worker19,16,bestfit,MaxMax
domain3_worker20,16,bestfit,MaxMax
domain3_worker21,16,bestfit,MaxMax
domain3_worker22,16,bestfit,MaxMax
domain3_worker23,16,bestfit,MaxMax
domain3_worker24,16,bestfit,MaxMax
domain3_worker25,16,bestfit,MaxMax
domain3_worker26,16,bestfit,MaxMax
domain3_worker27,16,bestfit,MaxMax
domain3_worker28,16,bestfit,MaxMax
