NodeName,NumCores,PartitioningHeuristic,NodeSelectionHeuristic
domain4_worker0_r,16,bestfit,MinMin
domain4_worker1_r,16,bestfit,MinMin
domain4_worker2_r,16,bestfit,MinMin
domain4_worker3_r,16,bestfit,MinMin
domain4_worker4_r,16,bestfit,MinMin
domain4_worker5_r,16,bestfit,MinMin
domain4_worker6_r,16,bestfit,MinMin
domain4_worker7_r,16,bestfit,MinMin
domain4_worker8_r,16,bestfit,MinMin
domain4_worker9_r,16,bestfit,MinMin
domain4_worker10_r,16,bestfit,MinMin
domain4_worker11_r,16,bestfit,MinMin
domain4_worker12_r,16,bestfit,MinMin
domain4_worker13_r,16,bestfit,MinMin
domain4_worker14_r,16,bestfit,MinMin
domain4_worker15_r,16,bestfit,MinMin
domain4_worker16_r,16,bestfit,MinMin
domain4_worker17_r,16,bestfit,MinMin
domain4_worker18_r,16,bestfit,MinMin
domain4_worker19_r,16,bestfit,MinMin
domain4_worker20_r,16,bestfit,MinMin
domain4_worker21_r,16,bestfit,MinMin
domain4_worker22_r,16,bestfit,MinMin
domain4_worker23_r,16,bestfit,MinMin
domain4_worker24_r,16,bestfit,MinMin
